Title,Location,Company,Salary_per_year,Summary
C/C++ Embedded Software Developer,Paris (75),GrAI Matter Labs,None,"GrAI Matter Labs (www.graimatterlabs.ai (http://www.graimatterlabs.ai/)) is a growing fabless semiconductor company with offices in San Jose, Paris and…"
Responsable de Projet FPGA (F/H) — 102020/PST/KQN,Toulouse (31),SERMA INGENIERIE,None,"Le groupe SERMA (CA de 140M€, plus de 1300 collaborateurs), dans le cadre du fort développement de sa filiale SERMA Ingénierie, recherche aujourd’hui à…"
Ingénieur en electronique numérique/SGO,Gennevilliers (92),SERMA INGENIERIE,None,Besoin pour un projet de conception de carte pour des équipements aéronautiques militaires.
Ingénieur R&D HPC (F/H),France,Eolen France,None,AS+ est la filiale du Groupe EOLEN portant les activités liées au calcul haute performance (HPC).
Ingénieur conception FPGA expérimenté H/F,Toulouse (31),Expleo,None,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale."
Ingénieur d'études,France,Ortec,None,"Améliorer la conception d'un drone, analyser les défaillances d'une centrale inertielle, fiabiliser le calculateur d'un turboréacteur,…."
GUI SOFTWARE ENGINEER F/M,Sèvres (92),NanoXplore,None,NanoXplore is a pioneer in design and development of space-grade FPGA and e-FPGA located in Paris and.
Ingénieur Electronique,Toulouse (31),ASTEK,None,Ce que nous allons accomplir ensemble :
Ingénieur électronique H/F,Villepinte (93),EXPECTRA,40000,"EXPECTRA, *recherche pour l'un de ses clients, spécialisé dans la conception sur mesure de systèmes LED, un(e) Ingénieur électronique H/F."
Ingénieur JAVA F/H,Clamart (92),SOGETEK INFORMATIQUE,35000,Depuis plus de 33 ans SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Chef de Projet R&D H/F - Leader de cartes électroniques FPGA,Lisses (91),Michael Page,60000,"Au titre de Chef de Projets R&D, vous êtes le garant des missions suivantes :"
Développeur C++ – Startup computer vision,Paris (75),Konekt,55000,Startup créée en 2018 qui vient de réaliser une levée de fond de plus d'un million d'euros.
Ingénieur LAYOUT Electronique numérique F/H,Vélizy-Villacoublay (78),ONESIDE TECHNOLOGIES,None,Nous recherchons un ingénieur électronique pour intervenir sur une mission d'ingénieur CAO/PCB électronique dans le domaine de l'informatique.
Ingénieur Electronique – Equipement Médical,Puteaux (92),Triskell Consulting,40000,"Dans le cadre du développement d’une nouvelle gamme de produits permettant de réaliser certaines analyses médicales, nous recrutons un Ingénieur en conception…"
Ingénieur FPGA F/H,Toulouse (31),SCALIAN,None,Vous êtes Ingénieur FPGA et vous êtes à la recherche d'un nouveau challenge ?
FPGA Digital Design Engineer,Sophia Antipolis (06),IC Resources,None,"Salary: €50,000- €80,000 with excellent benefits."
Développement Python-3 H/F,Clamart (92),SOGETEK INFORMATIQUE,30000,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Développement Python-3 H/F,Clamart (92),SOGETEK INFORMATIQUE,30000,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Développeur Contrôle Asservissement Systèmes - Secteur Militaire,Lille (59),Alphadoz,None,"Le Groupe ALPHADOZ® a vu le jour en avril 2011, suite au succès rencontré par la société d’ingénierie AQUATRIX® créée en 2008 et spécialisée dans le domaine de…"
INGÉNIEUR-CHERCHEUR EN ÉLECTRONIQUE NUMÉRIQUE (H/F),Châtillon (92),ONERA,None,"L’ONERA, acteur central de la recherche aéronautique et spatiale, emploie environ 1950 personnes."
Responsable métier FPGA & DCS DO-254 (H/F),Chatou (78),Thales Group,None,L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique…
Developpeur logiciel embarqué,Bièvres (91),Protectic,None,Protectic recherche plusieurs Ingénieurs en dévelopement de logiciel embarqué H/F.
Ingénieur/Développeur Logiciels Embarqués H-F,Dijon (21),Oberthur Cash Protection,None,"Intégré(e) au service R&D, dans son pôle Embarqué, l'Ingénieur/Développeur logiciels embarqués (H/F) aura pour missions :"
Package Development Engineer,Nantes (44),Microchip Technology,None,Microchip Technology Inc. is a leading provider of embedded control applications.
Ingénieur électronique FPGA F/H — 102020/PST/KQN,Toulouse (31),SERMA INGENIERIE,None,Nous recherchons à renforcer nos équipes en intégrant un(e) Ingénieur électronique FPGA (F/H).
Développement Python-3 H/F,Clamart (92),Sogetek,None,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Stage ingénieur traitement du signal H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Stage Développement Simulateur de satellite H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Ingénieur(e) Conception Electronique Numérique F/H,Buc (78),Maud GERGONE,None,"Au sein de l’équipe Design Numérique, vos principales missions seront les suivantes :"
Coordinateur système électronique H/F,Saint-Cloud (92),Dassault Aviation,None,"France, Ile de France, 92 - Saint-Cloud."
Ingénieur FPGA Vidéo,Les Ulis (91),Sept Lieues,40000,"Entreprise de renommée qui conçoit et fabrique une large gamme de produits et solutions dans les domaines de la télémesure bord & sol, du traitement embarqué de…"
Designer FPGA,Bordeaux (33),Technology & Strategy,None,Technology & Strategy is a Franco-German development partner for technology solutions.
[STAGE] Traitement vidéo embarqué FPGA - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
[STAGE] Développement d'un simulateur de capteur en FPGA pour train autonome - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
[STAGE] Développement de briques VHDL sur FPGA H/F - Toulouse,Toulouse (31),LGM Group,None,"Dans le cadre de notre programme de R&T et d’innovation dans l’électronique spatiale, vous développerez des modules VHDL sur une nouvelle famille de FPGA…"
(H/F) Electronicien - ne,Toulouse (31),CNRS,23160,Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler.
C/C++ Embedded Software Developer,Paris (75),GrAI Matter Labs,None,"GrAI Matter Labs (www.graimatterlabs.ai (http://www.graimatterlabs.ai/)) is a growing fabless semiconductor company with offices in San Jose, Paris and…"
Responsable de Projet FPGA (F/H) — 102020/PST/KQN,Toulouse (31),SERMA INGENIERIE,None,"Le groupe SERMA (CA de 140M€, plus de 1300 collaborateurs), dans le cadre du fort développement de sa filiale SERMA Ingénierie, recherche aujourd’hui à…"
INGENIEUR CONCEPTION ELECTRONIQUE FPGA (H/F) – BORDEAUX – REF CB,Bordeaux (33),Fortil,36000,"Rejoindre FORTIL Bordeaux, c’est intégrer une équipe composée de business managers et de recruteurs."
Digital electronics HW Engineer,Évry (91),REFLEX CES,None,A la recherche d’un nouveau challenge ?
Ingénieur en electronique numérique/SGO,Gennevilliers (92),SERMA INGENIERIE,None,Besoin pour un projet de conception de carte pour des équipements aéronautiques militaires.
Ingénieur R&D HPC (F/H),France,Eolen France,None,AS+ est la filiale du Groupe EOLEN portant les activités liées au calcul haute performance (HPC).
Ingénieur conception FPGA expérimenté H/F,Toulouse (31),Expleo,None,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale."
Ingénieur d'études,France,Ortec,None,"Améliorer la conception d'un drone, analyser les défaillances d'une centrale inertielle, fiabiliser le calculateur d'un turboréacteur,…."
GUI SOFTWARE ENGINEER F/M,Sèvres (92),NanoXplore,None,NanoXplore is a pioneer in design and development of space-grade FPGA and e-FPGA located in Paris and.
Techniciens en électronique,Évry (91),REFLEX CES,19440,A la recherche d’un nouveau challenge ?
Ingénieur(e) Conception FPGA Confirmé(e) H/F,Toulouse (31),LGM Group,None,"LGM Ingénierie, filiale du Groupe LGM (1 400 collaborateurs), est une société spécialisée dans l’étude, la conception, le développement, la qualification et la…"
[STAGE] Développement d'un démonstrateur : Outil de monitoring et déploiement - Toulouse,Toulouse (31),LGM Group,None,"Dans le cadre du passage vers l’industrie 4.0 et de la digitalisation croissante des bancs de tests, LGM Ingénierie souhaite développer un outil de monitoring…"
Ingénieur(e) Conception FPGA Confirmé(e) H/F,Toulouse (31),LGM Group,None,"LGM Ingénierie, filiale du Groupe LGM (1 400 collaborateurs), est une société spécialisée dans l’étude, la conception, le développement, la qualification et la…"
Ingénieur Electronique,Toulouse (31),ASTEK,None,Ce que nous allons accomplir ensemble :
Ingénieur électronique H/F,Villepinte (93),EXPECTRA,40000,"EXPECTRA, *recherche pour l'un de ses clients, spécialisé dans la conception sur mesure de systèmes LED, un(e) Ingénieur électronique H/F."
Ingénieur JAVA F/H,Clamart (92),SOGETEK INFORMATIQUE,35000,Depuis plus de 33 ans SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Chef de Projet R&D H/F - Leader de cartes électroniques FPGA,Lisses (91),Michael Page,60000,"Au titre de Chef de Projets R&D, vous êtes le garant des missions suivantes :"
Développeur C++ – Startup computer vision,Paris (75),Konekt,55000,Startup créée en 2018 qui vient de réaliser une levée de fond de plus d'un million d'euros.
