Title,Location,Company,Salary_per_year,Summary
Digital Verification Engineer,Paris (75),SCALINX,None,Job Title Digital IC verification engineer.
Ingénieur en Electronique de Puissance H/F,Toulouse (31),CEA - Commissariat à l'Energie Atomique,None,"Au sein de l’entité du CEA Tech Occitanie basée à Toulouse-Labège, la Plateforme Puissance mène des projets applicatifs en lien avec ses partenaires industriels…"
Alternance en conception électronique Aix-En-Provence (H/F),Aix-en-Provence (13),Atos,None,Atos est un leader international de la transformation digitale avec 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de 12 milliards d’euros.
[STAGE] Développement de briques VHDL sur FPGA H/F - Toulouse,Toulouse (31),LGM Group,None,"Dans le cadre de notre programme de R&T et d’innovation dans l’électronique spatiale, vous développerez des modules VHDL sur une nouvelle famille de FPGA…"
Digital HW Verification & Design Engineer,Valbonne (06),NXP Semiconductors,None,"(NASDAQ: NXPI) enables secure connections and infrastructure for a smarter world, advancing solutions that make lives easier, better, and safer."
[STAGE] Développement d'un simulateur de capteur en FPGA pour train autonome - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
Ingénieur(e) Conception FPGA Confirmé(e) H/F,Toulouse (31),LGM Group,None,"LGM Ingénierie, filiale du Groupe LGM (1 400 collaborateurs), est une société spécialisée dans l’étude, la conception, le développement, la qualification et la…"
[STAGE] Développement d'un démonstrateur : Outil de monitoring et déploiement - Toulouse,Toulouse (31),LGM Group,None,"Dans le cadre du passage vers l’industrie 4.0 et de la digitalisation croissante des bancs de tests, LGM Ingénierie souhaite développer un outil de monitoring…"
INGENIEUR RAMS ELECTRONIQUE F/H,Tours (37),Studiel,34000,"Dans le cadre d'un projet in situ client, vous analyserez les architectures et schémas électroniques pour évaluer les aspects fiabilité, disponibilité et…"
ANALOG/MIXED-SIGNAL DESIGN ENGINEER F/M,Sèvres (92),NanoXplore,None,NanoXplore is a pioneer in design and development of space-grade FPGA and e-FPGA located in Paris and.
Stage ingénieur traitement du signal H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Ingénieur Electronique,Placé (53),Europlacer,None,"Dans l’objectif de préparer un départ à la retraite et dans un contexte de forte croissance, nous recherchons un ingénieur Electronique."
Stage Implémentation & validation IP High Speed Ethernet Subsystem sur cible FPGA H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Stage ingénieur : Vérification Digitale Avancée (f/m),Toulouse (31),NXP Semiconductors,None,"(NASDAQ: NXPI) enables secure connections and infrastructure for a smarter world, advancing solutions that make lives easier, better, and safer."
Stage Bac+5 - Ingénieur Développement FPGA et Filtrage Audio F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
Dévops (C/C++),Clamart (92),SOGETEK INFORMATIQUE,34000,Depuis plus de 33 ans SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Stage ingénieur: Développement et Analyse de performance d’un système multimédias (f/m),Sophia Antipolis (06),NXP Semiconductors,None,"(NASDAQ: NXPI) enables secure connections and infrastructure for a smarter world, advancing solutions that make lives easier, better, and safer."
Asic Verification Environment Engineer,Paris (75),Sequans,None,"Working within Sequans’ ASIC verification environment team, this role includes responsibility for the development of verification environments for the…"
[STAGE] Traitement vidéo embarqué FPGA - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
Responsable Adjoint BE électronique H/F,Saint-Quentin-en-Yvelines (78),Assystem,None,"Depuis 50 ans, nous sommes animés par la conviction que les ingénieurs, par leur audace, leur expertise et leur capacité à faire bouger les lignes sont les…"
INGENIEUR SIMULATION EMULATION ASIC H/F,Toulouse (31),FORCE INTERIM,None,La société FORCE INTERIM accompagne des donneurs d’ordres de tout secteur et est spécialisée dans le domaine du travail temporaire et du recrutement.
Alternance en conception electronique Aix-En-Provence (H/F),Aix-en-Provence (13),Atos,None,Atos est un leader international de la transformation digitale avec 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de 12 milliards d’euros.
Stage ingénieur: Conception système intégré (f/m),Sophia Antipolis (06),NXP Semiconductors,None,"(NASDAQ: NXPI) enables secure connections and infrastructure for a smarter world, advancing solutions that make lives easier, better, and safer."
ARCHITECTE FPGA ASIC F/H,Nice (06),Progressive,None,"Leader sur un marché spécifique,."
Ingénieur FPGA F/H – 102020/PSR/SOZ,Grenoble (38),SERMA INGENIERIE,None,"Dans le cadre du développement de notre activité, nous recherchons à renforcer nos équipes en intégrant un Ingénieur développement FPGA F/H."
Ingénieur électronique FPGA -- 102020/PST/KQN,Toulouse (31),Serma Ingenierie,None,"SERMA INGENIERIE*, filiale de SERMA GROUP, est une société experte en électronique embarquée qui développe et réalise des systèmes et logiciels pour des grands…"
FPGA Design Engineer (H/F) – La Ciotat,La Ciotat (13),Genwaves,None,FPGA DESIGN ENGINEER (H/F).
CDI - Ingénieur(e) expérimenté(e) en électronique numérique (H/F),Les Mureaux (78),Ariane Group,None,"Le département ""Electrical Equipment Software and Support"" développe et maintien des moyens matériels et logiciels pour la mise en œuvre électriques et le…"
INGENIEUR DEVELOPPEMENT FPGA,Toulouse (31),Médiane Ingénierie,None,"Au sein du service électronique numérique, vous êtes chargé du développement des FGPA."
Développeur C / C++ & Scrum Master F/H,Clamart (92),Sogetek,None,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
INGENIEUR SYSTEME F/H,Lyon 1er (69),D A M,None,Au sein du bureau d'étude Système vous occuperez le poste d’ingénieur(e) système à Villeurbanne proche du centre-ville de Lyon.
Lead C/ C++ & Scrum Master H/F,Paris 17e (75),Sogetek,None,Depuis plus de 33 ans SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Ingénieur développement FPGA (26) F/H – 102020/PSR/SOZ,Valence (26),SERMA INGENIERIE,None,"Dans le cadre du développement de notre activité, nous recherchons à renforcer nos équipes en intégrant un Ingénieur développement FPGA F/H."
Ingénieur développement FPGA – 092020/PST/SCH,Toulouse (31),SERMA INGENIERIE,None,"Dans le cadre de votre fonction, vos missions seront les suivantes :"
FIELD APPLICATION ENGINEER F/M,Sèvres (92),NanoXplore,None,NanoXplore is a pioneer in design and development of space-grade FPGA and e-FPGA located in Paris and.
Technicien de maintenance électronique H/F),Les Clayes-sous-Bois (78),Atos,None,Atos est un leader international de la transformation digitale avec plus de 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de plus de 11…
Responsable de Projet FPGA -- 102020/PST/KQN,Toulouse (31),Serma Ingenierie,48000,"Le groupe SERMA (CA de 140M€, plus de 1300 collaborateurs), dans le cadre du fort développement de sa filiale SERMA Ingénierie, recherche aujourd’hui à…"
Verification Engineer,Paris (75),IC Resources,None,"Salary: €40,000 - €60,000."
Ingénieur conception d'ASIC F/H - 102020/PSR/SOZ,Grenoble (38),Serma Ingénierie,40000,"Dans le cadre du développement de notre activité, nous recherchons à renforcer nos équipes en intégrant un Ingénieur en conception d’ASIC H/F."
Algorithm Research Engineer in Digital Communication Field,Houville-la-Branche (28),Navtel Systems,None,"Development of algorithms for digital communication [Satellite, Aero and UAV severe environments]."
Stage Bac+ 5 – Ingénieur développement FPGA F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
STAGE – ELECTRONIQUE NUMERIQUE FPGA F/H,Cornebarrieu (31),SERMA INGENIERIE,None,"Dans le cadre du développement de nos activités, nous cherchons aujourd’hui à renforcer nos équipes en intégrant un(e) STAGIAIRE INGENIEUR(E) FPGA (F/H)."
Ingénieur développement FPGA -CLZ,Guyancourt (78),SERMA INGENIERIE,None,Nous recherchons à renforcer nos équipes en intégrant un(e) Ingénieur FPGA (F/H).
Ingénieur hardware confirmé (H/F),Massy (91),RECRUTONS ENSEMBLE,40000,Vous rêvez de travailler dans une startup technologique en forte croissance ?
Développeur C / C++ & Scrum Master F/H,Clamart (92),SOGETEK INFORMATIQUE,30000,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
INGENIEUR CONCEPTION EN ELECTRONIQUE (H/F),Castanet-Tolosan (31),SERMAT,None,Localisation : * Poste à pourvoir à CASTANET TOLOSAN (31).
Performance Verification Engineer F/H,Valbonne (06),CELAD,None,"Avec plus de 25 ans d’existence, CELAD est une société de conseil et d’ingénierie informatique de plus de 1300 collaborateurs au CA approchant les 100 millions…"
Ingénieur expérimenté FPGA. JCU,Guyancourt (78),SERMA INGENIERIE,None,"Dans le cadre d’un projet aéronautique, nous recherchons un(e) Ingénieur(e) FPGA."
Junior Analog Designer,Meylan (38),DOLPHIN DESIGN,None,"Dans le cadre d'un accroissement d'activité, nous recrutons un(e) Concepteur analogique débutant (h/f)."
Développeur informatique C++/électronique H/F,Chalon-sur-Saône (71),Contrôle Mesure Systèmes,None,La société Contrôle Mesure Systèmes est un des leaders mondiaux dans la conception et fabrication de matériel de Contrôle Non Destructif par Ultrasons et…
Ingénieur expérimenté FPGA. JCU,Guyancourt (78),SERMA INGENIERIE,None,"Dans le cadre d’un projet aéronautique, nous recherchons un(e) Ingénieur(e) FPGA."
Junior Analog Designer,Meylan (38),DOLPHIN DESIGN,None,"Dans le cadre d'un accroissement d'activité, nous recrutons un(e) Concepteur analogique débutant (h/f)."
Développeur informatique C++/électronique H/F,Chalon-sur-Saône (71),Contrôle Mesure Systèmes,None,La société Contrôle Mesure Systèmes est un des leaders mondiaux dans la conception et fabrication de matériel de Contrôle Non Destructif par Ultrasons et…
Ingénieur électronique numérique F/H,Flourens (31),Erems,None,Depuis 1979 EREMS conçoit et produit des équipements électroniques à la pointe de la technologie.
Ingénieur électronique Systèmes embarqués,Montauban (82),Maf Roda,None,"Au sein de l’équipe Electronique-Informatique, vous développez des cartes électroniques équipant nos calibreuses et nos systèmes de tri optique pour les fruits."
INGENIEUR SIMULATION EMULATION ASIC H/F,Toulouse (31),FORCE INTERIM,None,La société FORCE INTERIM accompagne des donneurs d’ordres de tout secteur et est spécialisée dans le domaine du travail temporaire et du recrutement.
INGENIEUR CONCEPTION EN ELECTRONIQUE (F/H),Castanet-Tolosan (31),SOTEREM,None,Z.I. de Vic BP 42297.
Ingénieur Logiciel Embarqué (H/F),Les Clayes-sous-Bois (78),Atos,None,Atos est un leader international de la transformation digitale avec 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de 12 milliards d’euros.
Développeur C / C++ & Scrum Master F/H,Clamart (92),Sogetek,None,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Lead C/ C++ & Scrum Master H/F,Paris 17e (75),Sogetek,None,Depuis plus de 33 ans SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Développeur Logiciel (H/F),Nantes (44),Consept,None,"Depuis 16 ans, Consept accompagne ses clients dans leur projet en ingénierie industrielle et informatique (naval, aéronautique, tertiaire, défense…)."
Chef de Projet Electronique #FPGA @EVRY,Évry (91),My Tech Agency,45000,(nom) féminin /tɛk/ : cabinet startup en recrutement spécialisée sur les métiers de l’ingénierie industrielle qui transforme les modes de recrutement classique.
